date,open,high,low,close,volume
06/16/2011,19.490000,19.490000,19.490000,19.490000,0
06/17/2011,17.000000,17.000000,17.000000,17.000000,0
06/18/2011,15.681000,15.681000,15.681000,15.681000,0
06/19/2011,16.890000,16.890000,16.890000,16.890000,0
06/20/2011,17.510000,17.510000,17.510000,17.510000,0
06/21/2011,17.510000,17.510000,17.510000,17.510000,0
06/22/2011,17.510000,17.510000,17.510000,17.510000,0
06/23/2011,17.510000,17.510000,17.510000,17.510000,0
06/24/2011,17.510000,17.510000,17.510000,17.510000,0
06/25/2011,17.510000,17.510000,17.510000,17.510000,0
06/26/2011,17.510000,17.510000,17.510000,17.510000,0
06/27/2011,16.450000,16.450000,16.450000,16.450000,0
06/28/2011,16.750000,16.750000,16.750000,16.750000,0
06/29/2011,16.949800,16.949800,16.949800,16.949800,0
06/30/2011,16.845000,16.845000,16.845000,16.845000,0
07/01/2011,16.101000,16.101000,16.101000,16.101000,0
07/02/2011,15.397000,15.397000,15.397000,15.397000,0
07/03/2011,15.400000,15.400000,15.400000,15.400000,0
07/04/2011,15.440500,15.440500,15.440500,15.440500,0
07/05/2011,13.860000,13.860000,13.860000,13.860000,0
07/06/2011,12.906900,12.906900,12.906900,12.906900,0
07/07/2011,14.783500,14.783500,14.783500,14.783500,0
07/08/2011,14.776100,14.776100,14.776100,14.776100,0
07/09/2011,14.314000,14.314000,14.314000,14.314000,0
07/10/2011,14.380000,14.380000,14.380000,14.380000,0
07/11/2011,14.900000,14.900000,14.900000,14.900000,0
07/12/2011,14.209100,14.209100,14.209100,14.209100,0
07/13/2011,14.009400,14.009400,14.009400,14.009400,0
07/14/2011,13.951000,13.951000,13.951000,13.951000,0
07/15/2011,13.990000,13.990000,13.990000,13.990000,0
07/16/2011,13.810000,13.810000,13.810000,13.810000,0
07/17/2011,13.719100,13.719100,13.719100,13.719100,0
07/18/2011,13.160000,13.160000,13.160000,13.160000,0
07/19/2011,13.480000,13.480000,13.480000,13.480000,0
07/20/2011,13.850200,13.850200,13.850200,13.850200,0
07/21/2011,13.689400,13.689400,13.689400,13.689400,0
07/22/2011,13.610000,13.610000,13.610000,13.610000,0
07/23/2011,13.695400,13.695400,13.695400,13.695400,0
07/24/2011,13.680000,13.680000,13.680000,13.680000,0
07/25/2011,13.980000,13.980000,13.980000,13.980000,0
07/26/2011,14.047800,14.047800,14.047800,14.047800,0
07/27/2011,13.882100,13.882100,13.882100,13.882100,0
07/28/2011,13.939400,13.939400,13.939400,13.939400,0
07/29/2011,13.490100,13.490100,13.490100,13.490100,0
07/30/2011,13.498300,13.498300,13.498300,13.498300,0
07/31/2011,13.530300,13.530300,13.530300,13.530300,0
08/01/2011,13.350000,13.350000,13.350000,13.350000,0
08/02/2011,13.094600,13.094600,13.094600,13.094600,0
08/03/2011,12.050000,12.050000,12.050000,12.050000,0
08/04/2011,9.260000,9.260000,9.260000,9.260000,0
