date,predicted_price,predicted_price_smooth
2024-07-23,127210.94397237856,127210.94397237856
2024-07-24,127313.83791213008,127221.23336635371
2024-07-25,127416.82675891706,127240.79270561005
2024-07-26,127519.87891254836,127268.70132630388
2024-07-27,127622.99439964569,127304.13063363807
2024-07-28,127726.1732468376,127346.33489495802
2024-07-29,127829.41548075872,127394.6429535381
2024-07-30,127932.72112804968,127448.45077098926
2024-07-31,128139.52276933262,127517.5579708236
2024-08-01,128191.27079298467,127584.92925303972
2024-08-02,128243.01881663672,127650.73820939942
2024-08-03,128450.20149789148,127730.68453824864
2024-08-04,128502.0448415413,127807.82056857791
2024-08-05,128553.88818519111,127882.42733023924
2024-08-06,128761.45238654588,127970.32983586991
2024-08-07,128865.32995398498,128059.82984768142
2024-08-08,128969.27120153148,128150.77398306644
2024-08-09,129021.27367871169,128237.82395263096
2024-08-10,129073.27615589189,128321.36917295706
2024-08-11,129177.34484377944,128406.9667400393
2024-08-12,129385.67352701574,128504.83741873695
2024-08-13,129489.93357582188,128603.34703444545
2024-08-14,129542.09552044411,128697.22188304532
2024-08-15,129698.64522149228,128797.36421689003
2024-08-16,129750.87104667144,128892.71489986818
2024-08-17,129907.6124428945,128994.20465417081
2024-08-18,130012.19196138582,129096.00338489232
2024-08-19,130064.51370773911,129192.854417177
2024-08-20,130221.54294778516,129295.72327023782
2024-08-21,130273.9287085159,129393.54381406563
2024-08-22,130326.31446924664,129486.82087958374
2024-08-23,130431.15004526053,129581.25379615143
2024-08-24,130641.01346811574,129687.22976334786
2024-08-25,130693.52741833772,129787.85952884685
2024-08-26,130746.04136855972,129883.67771281813
2024-08-27,130956.289681524,129990.9389096887
2024-08-28,131008.89991460321,130092.73501018016
2024-08-29,131061.51014768243,130189.61252393038
2024-08-30,131166.7948560591,130287.33075714325
2024-08-31,131377.5571068082,130396.35339210976
2024-09-01,131430.29590483758,130499.74764338254
2024-09-02,131588.57664851352,130608.63054389563
2024-09-03,131641.37980956087,130711.90547046217
2024-09-04,131799.8536960133,130820.70029301729
2024-09-05,131852.72127380656,130923.90239109621
2024-09-06,131905.58885159984,131022.07103714658
2024-09-07,132117.25256082122,131131.58918951405
2024-09-08,132170.21686452482,131235.45195701512
2024-09-09,132223.1811682284,131334.22487813645
2024-09-10,132329.17431335506,131433.7198216583
2024-09-11,132541.35432437414,131544.4832719299
2024-09-12,132594.4477842295,131649.47972315986
2024-09-13,132753.7928091516,131759.91103175902
2024-09-14,132860.1090464991,131869.93083323303
2024-09-15,132966.48998305696,131979.58674821543
2024-09-16,133019.71281441022,132083.5993548349
2024-09-17,133072.93564576347,132182.53298392775
2024-09-18,133179.44606155707,132282.22429169068
2024-09-19,133286.0212573877,132382.60398826038
2024-09-20,133392.66126021117,132483.60971545544
2024-09-21,133606.1357946794,132595.86232337783
2024-09-22,133659.55308747213,132702.23139978727
2024-09-23,133712.9703802649,132803.30529783503
2024-09-24,133926.83432302534,132915.65820035405
2024-09-25,134033.8637341778,133027.47875373642
2024-09-26,134140.95814117094,133138.82669247987
2024-09-27,134194.5378560899,133244.39780884088
2024-09-28,134248.1175710089,133344.76978505767
2024-09-29,134462.63160725465,133456.55596727738
2024-09-30,134569.9862676999,133567.89899731963
2024-10-01,134623.6961633795,133673.47871392564
2024-10-02,134677.40605905908,133773.871448439
2024-10-03,134784.8910083663,133874.97340443172
2024-10-04,135000.0564889847,133987.481712887
2024-10-05,135053.89678168888,134094.1232197672
2024-10-06,135107.73707439305,134195.48460522978
2024-10-07,135323.2940706884,134308.26555177564
2024-10-08,135377.23230319924,134415.162226918
2024-10-09,135431.17053571012,134516.76305779722
2024-10-10,135647.11953487236,134629.79870550474
2024-10-11,135755.192123184,134742.33804727267
2024-10-12,135809.26113164375,134849.03035570978
2024-10-13,135863.33014010353,134950.46033414916
2024-10-14,136079.80256817068,135063.3945575513
2024-10-15,136188.13703353642,135175.86880514983
2024-10-16,136242.33703473984,135282.51562810884
2024-10-17,136296.5370359433,135383.91776889228
2024-10-18,136513.53376038265,135496.87936804132
2024-10-19,136622.130536682,135609.4044849054
2024-10-20,136676.46174761717,135716.11021117656
2024-10-21,136730.79295855234,135817.57848591416
2024-10-22,136948.31484760757,135930.6521220835
2024-10-23,137002.74460835633,136037.8613707108
2024-10-24,137057.17436910508,136139.79267055023
2024-10-25,137275.09070187053,136253.32247368226
2024-10-26,137384.1475674883,136366.40498306288
2024-10-27,137438.70891816338,136473.63537657293
2024-10-28,137602.45883311107,136586.51772222674
2024-10-29,137711.71328750392,136699.03727875446
2024-10-30,137766.37347336122,136805.77089821515
2024-10-31,137821.03365921852,136907.2971743155
2024-11-01,137930.41997546103,137009.60945443006
2024-11-02,138039.87226344724,137112.63573533177
2024-11-03,138149.39055039763,137216.31121683837
2024-11-04,138258.9748635374,137320.57758150826
2024-11-05,138368.62523010033,137425.38234636746
2024-11-06,138588.1242324503,137541.65653497574
2024-11-07,138643.04857759274,137651.79573923745
2024-11-08,138807.8877754301,137767.40494285672
2024-11-09,138862.8782966161,137876.95227823267
2024-11-10,138917.86881780208,137981.0439321896
2024-11-11,139138.02958064782,138096.74249703542
2024-11-12,139193.11946816338,138206.38019414822
2024-11-13,139358.45542949476,138321.58771768288
2024-11-14,139468.76782938867,138436.30572885345
2024-11-15,139579.1465826605,138550.58981423415
2024-11-16,139689.59171661473,138664.4900044722
2024-11-17,139800.1032585615,138778.05132988113
2024-11-18,139910.68123581857,138891.31432047486
2024-11-19,139966.00345576394,138998.7832340038
2024-11-20,140021.3256757093,139101.03747817434
2024-11-21,140132.0366055616,139204.1373909131
2024-11-22,140353.6580444999,139319.0894562718
2024-11-23,140464.56860827387,139433.637371472
2024-11-24,140520.05718983107,139542.2793533079
2024-11-25,140575.54577138828,139645.60599511594
2024-11-26,140686.58956120117,139749.70435172447
2024-11-27,140908.87713038904,139865.62162959093
2024-11-28,140964.49904745197,139975.50937137703
2024-11-29,141131.43153483694,140091.10158772304
2024-11-30,141242.808868745,140206.27231582525
2024-12-01,141354.25299363452,140321.0703836062
2024-12-02,141410.00846527205,140429.96419177277
2024-12-03,141577.34172597475,140544.70194519297
2024-12-04,141688.98638824618,140659.13038949828
2024-12-05,141744.84216969486,140767.70156751794
2024-12-06,141800.69795114355,140871.00120588052
2024-12-07,142024.32188852187,140986.33327414465
2024-12-08,142136.234317874,141101.32337851758
2024-12-09,142192.22403773328,141210.41344443915
2024-12-10,142360.2602351259,141325.39812350782
2024-12-11,142416.317006529,141434.49001180995
2024-12-12,142472.3737779321,141538.27838842216
2024-12-13,142584.55441347175,141642.9059909271
2024-12-14,142809.1170726331,141759.5270990977
2024-12-15,142921.49915120957,141875.72430430888
2024-12-16,143033.94843243097,141991.5467171211
2024-12-17,143146.46494378752,142107.03853978773
2024-12-18,143259.0487127809,142222.23955708704
2024-12-19,143315.37423984715,142331.55302536307
2024-12-20,143371.69976691337,142435.5676995181
2024-12-21,143484.4181336956,142540.45274293586
2024-12-22,143597.20384064593,142646.12785270685
2024-12-23,143822.9773851453,142763.8128059507
2024-12-24,143935.96527775837,142881.02805313148
2024-12-25,143992.49294921348,142992.1745427397
2024-12-26,144162.1434414176,143109.1714326075
2024-12-27,144275.33376756374,143225.78766610313
2024-12-28,144388.59162666477,143342.0680621593
2024-12-29,144445.2543364753,143452.3866895909
2024-12-30,144615.31005399665,143568.67902603146
2024-12-31,144672.04036568647,143679.01515999695
2025-01-01,144728.7706773763,143783.9907117349
2025-01-02,144955.89488148066,143901.1811287095
2025-01-03,145012.72669943632,144012.3356857822
2025-01-04,145069.558517392,144118.05796894318
2025-01-05,145297.08899493417,144235.9610715423
2025-01-06,145410.95589178856,144353.46055356693
2025-01-07,145524.89059752325,144470.60355796257
2025-01-08,145638.89313976312,144587.43251614264
2025-01-09,145695.9283429523,144698.2820988236
2025-01-10,145752.96354614152,144803.7502435554
2025-01-11,145867.1018442942,144910.0854036293
2025-01-12,146095.5822265078,145028.63508591714
2025-01-13,146152.75329619218,145141.04690694466
2025-01-14,146209.9243658766,145247.93465283784
2025-01-15,146438.81267944357,145367.0224554984
2025-01-16,146496.0857942149,145479.92878937005
2025-01-17,146553.35890898624,145587.27180133166
2025-01-18,146667.97322393995,145695.3419435925
2025-01-19,146897.406220831,145815.54837131637
2025-01-20,147012.22495816008,145935.21603000074
2025-01-21,147127.11189168273,146054.40561616895
2025-01-22,147184.5894703963,146167.4240015917
2025-01-23,147357.09045815576,146286.3906472481
2025-01-24,147414.6363023515,146399.21521275843
2025-01-25,147587.34214200923,146518.02790568353
2025-01-26,147644.95630714486,146630.72074582966
2025-01-27,147702.5704722805,146737.90571847474
2025-01-28,147817.86716509872,146845.90186313714
2025-01-29,147933.23224821335,146954.63490164478
2025-01-30,148164.16769634685,147075.588181115
2025-01-31,148279.73811689025,147196.00317469254
2025-02-01,148395.37703877912,147315.9405611012
2025-02-02,148511.08448978962,147435.45495397004
2025-02-03,148568.972493748,147548.80670794784
2025-02-04,148626.8604977064,147656.6120869237
2025-02-05,148742.70509031627,147765.22138726298
2025-02-06,148974.60014081246,147886.15926261793
2025-02-07,149090.65065430535,148006.60840178668
2025-02-08,149148.71025900915,148120.81858750893
2025-02-09,149322.9577968551,148241.03250844355
2025-02-10,149439.2144815557,148360.85070575477
2025-02-11,149555.53994564837,148480.31962974413
2025-02-12,149613.73708130963,148593.6613749007
2025-02-13,149671.93421697087,148701.48865910774
2025-02-14,149788.3973233674,148810.1795255337
2025-02-15,149904.92929268736,148919.65450224906
2025-02-16,150021.5301527887,149029.84206730302
2025-02-17,150138.19993153148,149140.67785372588
2025-02-18,150254.93865678628,149252.10393403194
2025-02-19,150371.74635642694,149364.06817627145
2025-02-20,150605.5687903915,149488.21823768347
2025-02-21,150722.5835804968,149611.6547719648
2025-02-22,150781.1255185211,149728.6018466204
2025-02-23,150956.82044644383,149851.42370660274
2025-02-24,151015.4315122733,149967.8244871698
2025-02-25,151074.0425781028,150078.44629626308
2025-02-26,151191.33387943718,150189.7350545805
2025-02-27,151308.69437837147,150301.63098695962
2025-02-28,151426.1241028353,150414.0802985472
2025-03-01,151543.62308076365,150527.03457676887
2025-03-02,151661.1913400977,150640.45025310174
2025-03-03,151778.82890878397,150754.28811866997
2025-03-04,152014.31208603483,150880.29051540646
2025-03-05,152073.23491827992,150999.5849556938
2025-03-06,152132.157750525,151112.8422351769
2025-03-07,152250.07283621732,151226.56529528095
2025-03-08,152486.11138312568,151352.5199040654
2025-03-09,152545.17314172164,151471.78522783105
2025-03-10,152722.42795065814,151596.84950011375
2025-03-11,152840.69056215032,151721.2336063174
2025-03-12,152959.02276280255,151845.01252196592
2025-03-13,153018.22367171597,151962.33363694092
2025-03-14,153077.42458062936,152073.8427313098
2025-03-15,153195.8960436495,152186.04806254376
2025-03-16,153314.43717989116,152298.8869742785
2025-03-17,153551.72858416915,152424.17113526756
2025-03-18,153670.4789082889,152548.8019125697
2025-03-19,153729.88896304244,152666.910617617
2025-03-20,153908.18894074432,152791.03844992974
2025-03-21,154027.1487051988,152914.64947545665
2025-03-22,154146.17833922702,153037.8023618337
2025-03-23,154265.27787090506,153160.54991274083
2025-03-24,154324.8625996091,153276.98118142766
2025-03-25,154384.44732831314,153387.72779611623
2025-03-26,154503.6867395376,153499.32369045838
2025-03-27,154622.99613267218,153611.69093467976
2025-03-28,154742.3755358147,153724.75939479328
2025-03-29,154981.3444845555,153850.4179037695
2025-03-30,155100.9340863816,153975.46952203073
2025-03-31,155160.763948528,154093.99896468048
2025-04-01,155220.5938106744,154206.65844927987
2025-04-02,155460.1237391821,154332.0049782701
2025-04-03,155579.99399967445,154456.80388041053
2025-04-04,155699.9344951886,154581.11694188835
2025-04-05,155759.93987453342,154698.99923515288
2025-04-06,155940.02630390003,154823.1019420276
2025-04-07,156060.17767342337,154946.80951516717
2025-04-08,156120.28853202198,155064.15741685266
2025-04-09,156180.39939062062,155175.78161422946
2025-04-10,156421.05398074826,155300.30885088135
2025-04-11,156481.27044540236,155418.40501033346
2025-04-12,156661.99029978426,155542.76353927853
2025-04-13,156782.5641781371,155666.7436031644
2025-04-14,156842.8863757297,155784.35788042092
2025-04-15,156903.20857332228,155896.24294971107
2025-04-16,157144.70902705364,156021.08955744532
2025-04-17,157205.13708455165,156139.49431015595
2025-04-18,157265.56514204963,156252.10139334534
2025-04-19,157507.48928945945,156377.64018295676
2025-04-20,157568.0233339092,156496.678498052
2025-04-21,157749.69618171954,156621.98026641874
2025-04-22,157810.3009547609,156740.81233525294
2025-04-23,157870.90572780225,156853.82167450787
2025-04-24,158113.53716118084,156979.79322317516
2025-04-25,158174.24813310348,157099.238714168
2025-04-26,158234.95910502612,157212.8107532538
2025-04-27,158356.45190467773,157327.1748683962
2025-04-28,158478.01558842632,157442.2589403992
2025-04-29,158599.65018456522,157557.9980648158
2025-04-30,158843.1322272171,157686.51148105593
2025-05-01,158964.97973034863,157814.3583059852
2025-05-02,159086.89825910644,157941.6123012973
2025-05-03,159147.8930504599,158062.2403762136
2025-05-04,159208.88784181338,158176.90512277358
