date,open,high,low,close,volume,volume(KAS)
05/25/2022,0.00023,0.00023,0.00023,0.00023,10.9 K,
05/26/2022,0.00023,0.00023,0.000184,0.0002,9.6 K,
05/27/2022,0.0002,0.000208,0.000171,0.000181,5.7 K,
05/28/2022,0.000181,0.000205,0.000178,0.000202,11.2 K,
05/29/2022,0.000202,0.000202,0.000198,0.000202,41 K,
05/30/2022,0.000202,0.000202,0.000173,0.000173,44 K,
05/31/2022,0.000173,0.000194,0.000173,0.000189,38 K,
06/01/2022,0.000189,0.000189,0.000188,0.000189,40.2 K,
06/02/2022,0.000189,0.000189,0.00018,0.000184,40.9 K,
06/03/2022,0.000184,0.0005,0.000184,0.0004,52.9 K,
06/04/2022,0.0004,0.000749,0.0004,0.00059,134.9 K,
06/05/2022,0.00059,0.000616,0.000466,0.000557,152.5 K,
06/06/2022,0.000557,0.000559,0.000475,0.0005,123.4 K,
06/07/2022,0.0005,0.0005,0.000352,0.0004,98.7 K,
06/08/2022,0.0004,0.000448,0.00038,0.00044,92.3 K,
06/09/2022,0.00044,0.000544,0.00042,0.0005,99.7 K,
06/10/2022,0.0005,0.000558,0.00044,0.000558,130.9 K,
06/11/2022,0.000558,0.00056,0.000491,0.000491,131.8 K,
06/12/2022,0.000491,0.000519,0.000449,0.000484,115.4 K,
06/13/2022,0.000484,0.000485,0.000425,0.000433,97.6 K,
06/14/2022,0.000433,0.000477,0.000388,0.000388,91.8 K,
06/15/2022,0.000388,0.000392,0.000311,0.000314,83.9 K,
06/16/2022,0.000314,0.000431,0.000314,0.00039,91.5 K,
06/17/2022,0.00039,0.000425,0.000364,0.000421,85.5 K,
06/18/2022,0.000421,0.000421,0.000326,0.000357,79.8 K,
06/19/2022,0.000357,0.000369,0.00029,0.00033,77.4 K,
06/20/2022,0.00033,0.000339,0.000283,0.000317,66.8 K,
06/21/2022,0.000317,0.000379,0.000284,0.000372,71.5 K,
06/22/2022,0.000372,0.0006,0.000372,0.00045,106.3 K,
06/23/2022,0.00045,0.00045,0.000342,0.000365,88.6 K,
06/24/2022,0.000365,0.000389,0.000347,0.000373,78 K,
06/25/2022,0.000373,0.000384,0.000331,0.000384,75.6 K,
06/26/2022,0.000384,0.000384,0.000345,0.000352,78.6 K,
06/27/2022,0.000352,0.00037,0.000344,0.000368,77.4 K,
06/28/2022,0.000368,0.000385,0.000352,0.000354,82.1 K,
06/29/2022,0.000354,0.000374,0.000349,0.00036,77.3 K,
06/30/2022,0.00036,0.000415,0.000354,0.000415,82.7 K,
07/01/2022,0.000415,0.000415,0.000313,0.000332,78.7 K,
07/02/2022,0.000332,0.000364,0.00032,0.000336,74.1 K,
07/03/2022,0.000336,0.000342,0.000307,0.000307,70.3 K,
07/04/2022,0.000307,0.00032,0.000286,0.0003,65.6 K,
07/05/2022,0.0003,0.000325,0.000263,0.000287,67.7 K,
07/06/2022,0.000287,0.000299,0.000235,0.000269,65.8 K,
07/07/2022,0.000269,0.000283,0.000262,0.00028,63 K,
07/08/2022,0.00028,0.00028,0.000254,0.000275,57.9 K,
07/09/2022,0.000275,0.00028,0.000239,0.000249,55 K,
07/10/2022,0.000249,0.000264,0.000222,0.000236,51.2 K,
07/11/2022,0.000236,0.00025,0.000222,0.00024,52.7 K,
07/12/2022,0.00024,0.00024,0.0002,0.000239,51.1 K,
07/13/2022,0.000239,0.000261,0.000232,0.000245,52.9 K,
07/14/2022,0.000245,0.00025,0.000231,0.000231,51.6 K,
07/15/2022,0.000231,0.000259,0.000222,0.000244,50.9 K,
07/16/2022,0.000244,0.00026,0.00022,0.000251,53.4 K,
07/17/2022,0.000251,0.000258,0.00023,0.000233,56.1 K,
07/18/2022,0.000233,0.000244,0.000224,0.000244,50.9 K,
07/19/2022,0.000244,0.000247,0.000226,0.000242,52.2 K,
07/20/2022,0.000242,0.000243,0.000221,0.000221,48.4 K,
07/21/2022,0.000221,0.000237,0.000208,0.00021,48.1 K,
07/22/2022,0.00021,0.000237,0.000207,0.000209,48.6 K,
07/23/2022,0.000209,0.00024,0.000209,0.000235,45.7 K,
07/24/2022,0.000235,0.000241,0.000217,0.000222,50.6 K,
07/25/2022,0.000222,0.00024,0.000212,0.000239,50 K,
07/26/2022,0.000239,0.000242,0.000216,0.00023,49.6 K,
07/27/2022,0.00023,0.000369,0.000225,0.000261,57.4 K,
07/28/2022,0.000261,0.000341,0.000242,0.000284,66.4 K,
07/29/2022,0.000284,0.000396,0.000254,0.000396,83 K,
07/30/2022,0.000396,0.000531,0.000355,0.000531,136.3 K,
07/31/2022,0.000531,0.000699,0.000438,0.000676,170.4 K,
08/01/2022,0.000676,0.000871,0.000622,0.000871,222.8 K,
08/02/2022,0.000871,0.000973,0.000451,0.00072,271.6 K,
08/03/2022,0.00072,0.000839,0.00072,0.0008,244.7 K,
08/04/2022,0.0008,0.0008,0.000615,0.000705,180.4 K,
08/05/2022,0.000705,0.000706,0.000614,0.000614,149.9 K,
08/06/2022,0.000614,0.0007,0.00061,0.000695,149.4 K,
08/07/2022,0.000695,0.000695,0.000601,0.00061,140.1 K,
08/08/2022,0.00061,0.000643,0.000516,0.0006,141.3 K,
08/09/2022,0.0006,0.000674,0.000599,0.000674,157.4 K,
08/10/2022,0.000674,0.000731,0.000636,0.000649,160.9 K,
08/11/2022,0.000649,0.000747,0.000641,0.000695,160.1 K,
08/12/2022,0.000695,0.000765,0.000674,0.00076,168.3 K,
08/13/2022,0.00076,0.00095,0.000731,0.00095,180.4 K,
08/14/2022,0.00095,0.00119,0.0009,0.001138,300.4 K,
08/15/2022,0.001138,0.001442,0.001088,0.001305,324.5 K,
08/16/2022,0.001305,0.001463,0.001224,0.001392,435 K,
08/17/2022,0.001392,0.002433,0.001392,0.002433,551.9 K,
08/18/2022,0.002433,0.003154,0.002203,0.002999,693.5 K,
08/19/2022,0.002999,0.003732,0.002902,0.003208,985.4 K,
08/20/2022,0.003208,0.003513,0.002001,0.002406,911.8 K,
08/21/2022,0.002406,0.002701,0.001788,0.002198,635.3 K,
08/22/2022,0.002198,0.002474,0.001991,0.002417,569 K,
08/23/2022,0.002417,0.002904,0.002301,0.002445,597.5 K,
08/24/2022,0.002445,0.00306,0.002423,0.002902,683.2 K,
08/25/2022,0.002902,0.0036,0.002788,0.003465,822 K,
08/26/2022,0.003465,0.003465,0.002965,0.00313,847 K,
08/27/2022,0.00313,0.00313,0.002548,0.002548,694.5 K,
08/28/2022,0.002548,0.00281,0.002327,0.00274,654.2 K,
08/29/2022,0.00274,0.002751,0.002326,0.002326,628.4 K,
08/30/2022,0.002326,0.002777,0.002326,0.002587,620.2 K,
08/31/2022,0.002587,0.002904,0.002561,0.002904,612.4 K,
09/01/2022,0.002904,0.002904,0.002627,0.002694,681.7 K,
09/02/2022,0.002694,0.002952,0.0026,0.002935,635.7 K,
09/03/2022,0.002935,0.002953,0.002532,0.002739,694.1 K,
09/04/2022,0.002739,0.002739,0.002576,0.002682,653 K,
09/05/2022,0.002682,0.002814,0.002534,0.002814,632.6 K,
09/06/2022,0.002814,0.002814,0.0026,0.002738,634 K,
09/07/2022,0.002738,0.002832,0.002643,0.0028,675.9 K,
09/08/2022,0.0028,0.003455,0.002668,0.003455,693.3 K,
09/09/2022,0.003455,0.004415,0.003204,0.004198,1.1 m,
09/10/2022,0.004198,0.00491,0.004076,0.004807,1.5 m,
09/11/2022,0.004807,0.004807,0.004203,0.004599,1.3 m,
09/12/2022,0.004599,0.0047,0.00437,0.004439,1.1 m,
09/13/2022,0.004439,0.004479,0.003979,0.004046,1 m,
09/14/2022,0.004046,0.004046,0.00358,0.003911,971 K,
09/15/2022,0.003911,0.00413,0.003505,0.003977,949 K,
09/16/2022,0.003977,0.004076,0.003647,0.003749,972.9 K,
09/17/2022,0.003749,0.004277,0.003442,0.004197,995.6 K,
09/18/2022,0.004197,0.0049,0.003961,0.004892,1.1 m,
09/19/2022,0.004892,0.004892,0.004492,0.004778,1.2 m,
09/20/2022,0.004778,0.004778,0.00415,0.004292,1.1 m,
09/21/2022,0.004292,0.00463,0.004286,0.004388,1.1 m,
09/22/2022,0.004388,0.004509,0.004118,0.004445,1.1 m,
09/23/2022,0.004446,0.004627,0.004144,0.00427,641.5 K,
09/24/2022,0.004269,0.004642,0.003956,0.004044,8.5 K,
09/25/2022,0.004053,0.004411,0.003773,0.003788,8.7 K,
09/26/2022,0.003788,0.004013,0.003561,0.003764,8.4 K,
09/27/2022,0.003572,0.004987,0.003564,0.004808,14.8 K,
09/28/2022,0.004808,0.005059,0.003806,0.004205,28.6 K,
09/29/2022,0.004205,0.004219,0.003535,0.003882,20.1 K,
09/30/2022,0.003881,0.003901,0.00272,0.002741,9.4 K,
10/01/2022,0.002741,0.003159,0.002707,0.003112,14.2 K,
10/02/2022,0.003106,0.003493,0.002907,0.003089,7.5 K,
10/03/2022,0.003089,0.003284,0.002653,0.002664,5.1 K,
10/04/2022,0.002664,0.003072,0.002128,0.002157,6.2 K,
10/05/2022,0.002159,0.002787,0.002005,0.002034,7.9 K,
10/06/2022,0.002034,0.002789,0.001982,0.00262,5.6 K,
10/07/2022,0.002621,0.002634,0.002016,0.002193,7.1 K,
10/08/2022,0.002193,0.002592,0.002132,0.002344,3.4 K,
10/09/2022,0.002345,0.002703,0.002315,0.002329,2.9 K,
10/10/2022,0.002329,0.002925,0.00232,0.002721,4 K,
10/11/2022,0.002721,0.002926,0.002292,0.002297,4.9 K,
10/12/2022,0.002297,0.002676,0.002265,0.002285,4.6 K,
10/13/2022,0.002285,0.002494,0.002099,0.00249,2.4 K,
10/14/2022,0.00249,0.002491,0.001834,0.001938,2.5 K,
10/15/2022,0.001939,0.002353,0.001924,0.00211,3.5 K,
10/16/2022,0.00211,0.002304,0.002092,0.002097,3.3 K,
10/17/2022,0.002097,0.002316,0.002097,0.002119,1.2 K,
10/18/2022,0.002119,0.002342,0.001948,0.001956,2.1 K,
